criterioParada: o 	 regla: s 	 fold: 1 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004782 
criterioParada: o 	 regla: s 	 fold: 2 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: o 	 regla: s 	 fold: 3 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004757 
criterioParada: o 	 regla: s 	 fold: 4 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.003081 
criterioParada: o 	 regla: s 	 fold: 5 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 15.000000 
criterioParada: o 	 regla: s 	 fold: 6 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004767 
criterioParada: o 	 regla: s 	 fold: 7 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 13.000000 
criterioParada: o 	 regla: s 	 fold: 8 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004777 
criterioParada: o 	 regla: s 	 fold: 9 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 5.000000 
criterioParada: o 	 regla: M 	 fold: 1 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 27.000000 
criterioParada: o 	 regla: M 	 fold: 2 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: o 	 regla: M 	 fold: 3 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 27.000000 
criterioParada: o 	 regla: M 	 fold: 4 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 10.000000 
criterioParada: o 	 regla: M 	 fold: 5 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 27.000000 
criterioParada: o 	 regla: M 	 fold: 6 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 27.000000 
criterioParada: o 	 regla: M 	 fold: 7 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 24.000000 
criterioParada: o 	 regla: M 	 fold: 8 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: o 	 regla: M 	 fold: 9 	 rep: 1 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 1.000000 
criterioParada: p 	 regla: s 	 fold: 1 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004782 
criterioParada: p 	 regla: s 	 fold: 2 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: p 	 regla: s 	 fold: 3 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004757 
criterioParada: p 	 regla: s 	 fold: 4	 rep: 1		 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004767 
criterioParada: p 	 regla: s 	 fold: 5 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004759 
criterioParada: p 	 regla: s 	 fold: 6 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004767 
criterioParada: p 	 regla: s 	 fold: 7 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004805 
criterioParada: p 	 regla: s 	 fold: 8 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004777 
criterioParada: p 	 regla: s 	 fold: 9 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004733 
criterioParada: p 	 regla: M 	 fold: 1	 rep: 1		 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004730 
criterioParada: p 	 regla: M 	 fold: 2 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004724 
criterioParada: p 	 regla: M 	 fold: 3 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004712 
criterioParada: p 	 regla: M 	 fold: 4 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.002974 
criterioParada: p 	 regla: M 	 fold: 5 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004703 
criterioParada: p 	 regla: M 	 fold: 6 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004718 
criterioParada: p 	 regla: M 	 fold: 7 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004750 
criterioParada: p 	 regla: M 	 fold: 8 	 rep: 1 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004718 
criterioParada: p 	 regla: M 	 fold: 9	 rep: 1		 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004699 
criterioParada: o 	 regla: s 	 fold: 1 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 18.000000 
criterioParada: o 	 regla: s 	 fold: 2 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: o 	 regla: s 	 fold: 3 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 15.000000 
criterioParada: o 	 regla: s 	 fold: 4 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.003081 
criterioParada: o 	 regla: s 	 fold: 5 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 11.000000 
criterioParada: o 	 regla: s 	 fold: 6 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004767 
criterioParada: o 	 regla: s 	 fold: 7 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004805 
criterioParada: o 	 regla: s 	 fold: 8 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 17.000000 
criterioParada: o 	 regla: s 	 fold: 9 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004733 
criterioParada: o 	 regla: M 	 fold: 1 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 22.000000 
criterioParada: o 	 regla: M 	 fold: 2 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 20.000000 
criterioParada: o 	 regla: M 	 fold: 3 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 24.000000 
criterioParada: o 	 regla: M 	 fold: 4 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: o 	 regla: M 	 fold: 5 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 18.000000 
criterioParada: o 	 regla: M 	 fold: 6 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 21.000000 
criterioParada: o 	 regla: M 	 fold: 7 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 13.000000 
criterioParada: o 	 regla: M 	 fold: 8 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 30.000000 
criterioParada: o 	 regla: M 	 fold: 9 	 rep: 2 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: p 	 regla: s 	 fold: 1 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004782 
criterioParada: p 	 regla: s 	 fold: 2 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: p 	 regla: s 	 fold: 3 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004757 
criterioParada: p 	 regla: s 	 fold: 4	 rep: 2		 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.003081  
criterioParada: p 	 regla: s 	 fold: 5 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004759 
criterioParada: p 	 regla: s 	 fold: 6 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004767 
criterioParada: p 	 regla: s 	 fold: 7 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004805 
criterioParada: p 	 regla: s 	 fold: 8 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004777 
criterioParada: p 	 regla: s 	 fold: 9 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004733 
criterioParada: p 	 regla: M 	 fold: 1 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004730 
criterioParada: p 	 regla: M 	 fold: 2 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004724 
criterioParada: p 	 regla: M 	 fold: 3 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004712 
criterioParada: p 	 regla: M 	 fold: 4	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.002974 
criterioParada: p 	 regla: M 	 fold: 5 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004703 
criterioParada: p 	 regla: M 	 fold: 6 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004718 
criterioParada: p 	 regla: M 	 fold: 7 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004750 
criterioParada: p 	 regla: M 	 fold: 8 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004718 
criterioParada: p 	 regla: M 	 fold: 9 	 rep: 2 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004699 
criterioParada: o 	 regla: s 	 fold: 1 	 rep: 3 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004782 
criterioParada: o 	 regla: s 	 fold: 2 	 rep: 3 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: o 	 regla: s 	 fold: 3 	 rep: 3 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004757 
criterioParada: o 	 regla: s 	 fold: 4 	 rep: 3 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.003081 
criterioParada: o 	 regla: s 	 fold: 5 	 rep: 3 	 cantEpocas: 500 	 razon: ortogonalidad 	 epocaOError: 17.000000 
